clip_id,audio_path,duration,scene_name,gt_n_events,gt_events,pred_n_events,pred_events,pred_format_ok,match,errors,notes
rv6k_0970,audio/rv6k_0970.wav,10.537709905603485,concert_outdoor,3,"music [4.3-10.5] A harmonica soars over a steady jive, it | sfx [0.8-5.8] The audio features a female speaker who  | sfx [5.0-10.0] A deep, resonant mechanical rumble sugge",0,(parse failed),Y,omit,correct=0 halluc=0 omit=3,
rv6k_0912,audio/rv6k_0912.wav,11.508199577198734,restaurant_busy,3,"sfx [6.3-11.3] A powerful V8 car engine roars to life,  | sfx [2.5-7.5] Round of applause by members of the publ | music [5.5-11.5] A dramatic orchestral passage from J.S. ",3,"sfx [2.5-7.5] A burst of applause from a large audienc | sfx [5.5-10.5] A loud, high-pitched scream from a young | music [5.6-11.5] A short, 10-second orchestral excerpt fr",Y,mixed,correct=1 halluc=2 omit=2,
rv6k_0976,audio/rv6k_0976.wav,10.763452467657766,park_afternoon,3,"sfx [4.0-9.0] A baby cries in a small, quiet room with | sfx [1.7-6.7] A high-pitched cat emits a single, exten | sfx [0.7-5.7] A continuous low-frequency mechanical hu",3,sfx [0.7-5.7] A low-frequency mechanical drone from an | sfx [1.7-6.7] A cat meows once in a quiet indoor space | sfx [3.9-8.9] A quiet indoor space is filled with the ,Y,mixed,correct=2 halluc=1 omit=1,
rv6k_0955,audio/rv6k_0955.wav,10.815056666121613,concert_outdoor,3,"music [4.5-10.8] A bright tenor saxophone delivers a smoo | sfx [3.8-7.8] A child shouts once during the recording | sfx [4.9-9.9] A siren cycles at about 0.5Hz, sweeping ",3,"sfx [3.9-8.9] A quiet indoor space with a steady, low  | music [4.4-10.8] A tenor saxophone solo unfolds with expr | sfx [5.4-10.4] A heavy door is slowly closed and latche",Y,mixed,correct=0 halluc=3 omit=3,
rv6k_0905,audio/rv6k_0905.wav,10.019320432484877,speech_with_music,2,"speech [4.8-9.8] A male speaker delivers a clear vocal ph | music [1.2-10.0] A fast, high-energy instrumental perform",2,music [1.2-10.0] A high-energy Latin jazz performance unf | speech [4.6-9.8] A male voice speaks a single Korean phra,Y,mixed,correct=1 halluc=1 omit=1,
rv6k_0928,audio/rv6k_0928.wav,10.872615992654769,concert_outdoor,3,music [4.8-10.9] An orchestral fanfare opens with brass-d | sfx [4.9-9.9] A brief audio clip (duration: 5 seconds) | sfx [0.5-5.5] A sharp percussive impact introduces a l,3,"sfx [0.5-5.5] A deep, resonant rumble from a train mov | sfx [4.9-9.9] A young woman laughs in a small, quiet r | music [5.2-10.9] A solo violin plays a slow, melancholic ",Y,mixed,correct=2 halluc=1 omit=1,
rv6k_0930,audio/rv6k_0930.wav,10.727288020687007,park_afternoon,3,"sfx [3.0-8.0] A high-frequency electronic alert emits  | sfx [1.9-6.9] A small, likely adult-to-middle-aged dog | sfx [1.9-6.9] A small dog lets out a piercing, high-pi",3,"sfx [1.9-6.9] A small dog barks rapidly and energetica | sfx [2.1-7.1] A low, continuous mechanical hum fills t | sfx [3.1-8.1] A high-pitched, continuous electronic to",Y,mixed,correct=1 halluc=2 omit=1,
rv6k_0965,audio/rv6k_0965.wav,9.37591873244425,speech_with_sfx,2,"speech [1.6-6.3] A short, intense audio clip: a Russian m | sfx [3.1-8.1] The audio features a female voice speaki",2,"speech [1.6-6.3] A male voice speaks a single word in Kor | sfx [3.7-8.7] A quiet indoor space with hard surfaces,",Y,mixed,correct=1 halluc=1 omit=1,
rv6k_0978,audio/rv6k_0978.wav,9.30372554666102,park_afternoon,3,"sfx [0.6-5.6] The audio is a brief 5-second recording  | sfx [0.2-5.2] A small dog emits a sudden, agitated bar | sfx [3.2-8.2] A large moving vehicle with a powerful e",3,"sfx [0.2-5.2] A small dog barks rapidly in a quiet ind | sfx [1.0-6.0] A quiet, high-fidelity field recording c | sfx [3.2-8.2] A deep, resonant rumble from a large veh",Y,mixed,correct=2 halluc=1 omit=1,
rv6k_0972,audio/rv6k_0972.wav,11.439226473062051,concert_outdoor,3,"music [0.3-11.4] ""La Campanella"" by Liszt presents a lyri | sfx [6.1-11.1] A woman laughs playfully in a quiet room | sfx [2.5-7.5] A solitary, massive wave crashes with ov",3,"music [0.3-11.4] A solo piano performance unfolds with a  | sfx [2.5-7.5] A deep, continuous low-frequency rumble  | sfx [5.0-10.0] A young woman laughs in a small, quiet r",Y,mixed,correct=2 halluc=1 omit=1,
