clip_id,audio_path,duration,n_sources,source_categories,source_captions,audio_natural,caption_accurate,notes
realmix_0033,audio/realmix_0033.wav,8.0,2,washing_machine | rooster,"A domestic cat named Whiskers meows repeatedly in a quiet ki | A horse unleashes a powerful, high-pitched bray within a lar",,,
realmix_0034,audio/realmix_0034.wav,8.0,3,breathing | sneezing | church_bells,"A person’s labored breathing fills a quiet indoor space, mar | A male subject suffers two successive violent sneezes in a s | The audio features a series of four loud, high-pitched metal",,,
realmix_0035,audio/realmix_0035.wav,8.0,2,rain | fireworks,"The recording includes a mechanical switch or button being p | A loud, sharp door slam abruptly breaks the silence, filling",,,
realmix_0036,audio/realmix_0036.wav,8.0,2,crying_baby | brushing_teeth,"The audio captures the distress of a young child crying, abr | Eating sounds and ambient noise in a coffee shop.",,,
realmix_0037,audio/realmix_0037.wav,8.0,3,brushing_teeth | cat | toilet_flush,"The quiet room carries the distinct sound of a small rodent' | A cat meows plaintively in a quiet, enclosed room with littl | A burst of pouring liquid in a small, quiet bathroom creates",,,
realmix_0038,audio/realmix_0038.wav,8.0,2,engine | snoring,"This ambient soundscape features the sound of an electric mo | A male voice, mid-to-low in pitch and gruff in timbre, issue",,,
realmix_0039,audio/realmix_0039.wav,8.0,2,footsteps | door_wood_knock,The audio clip is silent. | A brief moment of silence breaks to the resonant strike of a,,,
realmix_0040,audio/realmix_0040.wav,8.0,3,crickets | chainsaw | drinking_sipping,The audio presents a calm night scene filled with the repeti | The audio captures the intense clattering of keys being hand | In a near-silent office environment marked by a minimalist a,,,
realmix_0041,audio/realmix_0041.wav,8.0,2,brushing_teeth | hen,"A metallic rattling sound persists throughout, likely from s | The audio captures the vocal behavior of a domesticated duck",,,
realmix_0042,audio/realmix_0042.wav,8.0,3,clock_alarm | crickets | snoring,"A high-pitched, rhythmic beeping persists throughout the rec | A quiet night soundscape with a steady chorus of crickets an | A quiet indoor space is filled with subtle background noise ",,,
realmix_0043,audio/realmix_0043.wav,8.0,3,pig | cow | insects,"The audio captures a sequence of exaggerated, cartoonish voc | A long, sustained cello note rings through the space, its ri | A set of metallic keys are shaken vigorously in a small, aco",,,
realmix_0044,audio/realmix_0044.wav,8.0,2,rooster | train,"A rooster crows loudly in an open-air farmyard, its sharp ca | A female voice is heard shouting during what sounds like a s",,,
realmix_0045,audio/realmix_0045.wav,8.0,2,sneezing | rain,"A quiet indoor space with minimal acoustic activity hosts a  | A brief, sharp mechanical rattling occurs in an otherwise si",,,
realmix_0046,audio/realmix_0046.wav,8.0,3,thunderstorm | insects | hand_saw,"A continuous industrial metallic rumble fills the space from | A small electronic device emits a high-pitched, rhythmic whi | A rhythmic metallic sound is created by the physical manipul",,,
realmix_0047,audio/realmix_0047.wav,8.0,3,water_drops | chainsaw | crow,"A quiet room with soft furnishings and hard surfaces produce | The engine roars to life with a high-pitched whine from the  | A baby is crying repeatedly in a small, echoey room.",,,
realmix_0048,audio/realmix_0048.wav,8.0,3,can_opening | toilet_flush | thunderstorm,"This high-resolution audio focuses on the acoustics of a sma | A deep, guttural roar suddenly erupts in the audio, quickly  | The audio captures a sudden and forceful disturbance of a me",,,
realmix_0049,audio/realmix_0049.wav,8.0,2,chirping_birds | insects,A bird's prolonged chittering in a quiet forest opens the au | A low-frequency synthesizer drone with a slow harmonic evolu,,,
realmix_0050,audio/realmix_0050.wav,8.0,3,pouring_water | dog | sheep,"A bottle is being poured in an otherwise quiet kitchen setti | The audio captures a single, acoustically dominant dog bark  | In this audio, cows are making sound.",,,
realmix_0051,audio/realmix_0051.wav,8.0,2,sea_waves | glass_breaking,"The sound of ocean waves breaking on the shore. | A glass object shatters within a quiet, empty room, producin",,,
realmix_0052,audio/realmix_0052.wav,8.0,3,cow | sneezing | laughing,"A sheep blasts a loud, sustained wail inside a reverberant b | A person sneezes loudly in a quiet room, creating a sudden,  | A person laughs heartily in a silent room, their breathy cac",,,
realmix_0053,audio/realmix_0053.wav,8.0,3,chirping_birds | rooster | glass_breaking,"The audio captures delicate piano notes reverberating and in | The sounds of a full orchestral performance, with a grand br | A glass object is dropped from a shelf onto a hard surface, ",,,
realmix_0054,audio/realmix_0054.wav,8.0,2,sheep | glass_breaking,"It's a farm animal mooing. | A brief moment of abrupt, high-energy sound unfolds in a qui",,,
realmix_0055,audio/realmix_0055.wav,8.0,3,hand_saw | toilet_flush | rooster,"The audio depicts a sequence of a metal object being dragged | A toilet flushes in a small, acoustically reflective bathroo | A rooster crows early in the morning, its loud, high-pitched",,,
realmix_0056,audio/realmix_0056.wav,8.0,3,rooster | rain | engine,"A short rooster crow echoes in a quiet, acoustically sterile | Unceasing torrential downpour with unrelenting water flow ag | Dense, agitated chomping with a rapid-fire rhythm of teeth g",,,
realmix_0057,audio/realmix_0057.wav,8.0,3,keyboard_typing | hen | can_opening,"A hand runs across a computer keyboard, rapid and continuous | A brief, intense sequence featuring a sharp chicken cluck fo | A near-field recording captures three light, high-pitched me",,,
realmix_0058,audio/realmix_0058.wav,8.0,2,laughing | door_wood_creaks,"A high-energy burst of mixed-gender laughter dominates a noi | A large, distressed cow emits a prolonged, high-pitched, and",,,
realmix_0059,audio/realmix_0059.wav,8.0,2,water_drops | dog,"A soft, muffled plop occurs at the beginning, closely follow | Just a single yelp from a dog that sounds like it's being pl",,,
realmix_0060,audio/realmix_0060.wav,8.0,2,laughing | glass_breaking,"A deep, mocking laugh from a male voice is suddenly replaced | A set of keys is dropped onto a hard surface, producing a sh",,,
realmix_0061,audio/realmix_0061.wav,8.0,2,wind | mouse_click,A continuous low-frequency industrial hum with rhythmic meta | A quiet kitchen environment dominated by a continuous refrig,,,
realmix_0062,audio/realmix_0062.wav,8.0,2,pig | car_horn,The audio features a cartoonish character's frantic and exag | A brief moment from behind the scenes on New York City subwa,,,
realmix_0063,audio/realmix_0063.wav,8.0,2,clock_tick | frog,"In this clip, a rhythmic vocal sample from a female performe | The audio captures three sharp, high-pitched honks from a du",,,
realmix_0064,audio/realmix_0064.wav,8.0,2,sheep | hand_saw,"A goat emits a sharp, high-pitched bleat in a quiet indoor b | A dry, acoustically contained space hosts a sequence of shar",,,
realmix_0065,audio/realmix_0065.wav,8.0,2,chirping_birds | dog,"A serene outdoor garden with a tranquil, open-air ambiance h | A medium-sized, toy or brachycephalic breed of dog emits a s",,,
realmix_0066,audio/realmix_0066.wav,8.0,2,chirping_birds | brushing_teeth,"A peaceful outdoor soundscape is dominated by continuous, hi | A person's hands are moving rapidly and with precision throu",,,
realmix_0067,audio/realmix_0067.wav,8.0,2,crackling_fire | keyboard_typing,A sustained hiss from a stovetop burner is abruptly replaced | A set of keys jingles rhythmically and continuously inside a,,,
realmix_0068,audio/realmix_0068.wav,8.0,3,wind | cat | crickets,"A deep, resonant helicopter rotor sound dominates the audio, | A high-pitched cat meow cuts sharply through a silent domest | A cicada buzzing is overlaid with mechanical noise from an o",,,
realmix_0069,audio/realmix_0069.wav,8.0,2,chirping_birds | hand_saw,A serene dawn chorus in a remote natural area is dominated b | A metal knife scraping repeatedly across a metal surface in ,,,
realmix_0070,audio/realmix_0070.wav,8.0,2,keyboard_typing | rooster,A set of keys is vigorously shaken in close proximity to the | A metal kitchen utensil clatters loudly in an otherwise quie,,,
realmix_0071,audio/realmix_0071.wav,8.0,2,wind | sheep,A powerful low-frequency rumble and high-frequency hiss domi | The audio is classified as containing no discernible speech ,,,
realmix_0072,audio/realmix_0072.wav,8.0,3,keyboard_typing | can_opening | door_wood_creaks,"The audio captures a series of sharp, high-pitched tapping s | A forceful door slam occurs within a quiet indoor environmen | A high-pitched electric motor runs continuously in a worksho",,,
realmix_0073,audio/realmix_0073.wav,8.0,3,cow | crickets | sheep,"A cow bellows forcefully in a spacious, open outdoor farm se | A dense chorus of crickets fills the sonic space with a cont | A high-pitched motor revving with escalating volume and pitc",,,
realmix_0074,audio/realmix_0074.wav,8.0,2,airplane | toilet_flush,"A thunderclap sounds, followed by silence | Faint, low-level ambient noise from a distant source fills a",,,
realmix_0075,audio/realmix_0075.wav,8.0,2,car_horn | crow,"A quiet outdoor scene features a sudden, sharp car horn blas | Two identical and heavily distorted roars, resembling those ",,,
realmix_0076,audio/realmix_0076.wav,8.0,3,train | car_horn | helicopter,"A piercing, high-pitched metallic screech dominates the audi | A small brass instrument performs a slow rendition of the ic | A small, high-performance V-twin motorcycle engine, likely a",,,
realmix_0077,audio/realmix_0077.wav,8.0,2,pouring_water | thunderstorm,"In a quiet residential kitchen, a single cup of granular mat | A thunderclap occurs during a storm in an open, dry environm",,,
realmix_0078,audio/realmix_0078.wav,8.0,3,church_bells | vacuum_cleaner | rain,"A massive bell emits a deep, sonorous strike in a vast cathe | The audio captures a single, continuous blast from a steam l | The audio is a single recording captured outdoors. It has mi",,,
realmix_0079,audio/realmix_0079.wav,8.0,3,thunderstorm | vacuum_cleaner | hand_saw,"A moderate-intensity thunderclap rolls through the atmospher | A small electric hair clipper emits a steady high-pitched me | A dog is barking aggressively indoors with high-pitched, rap",,,
realmix_0080,audio/realmix_0080.wav,8.0,2,wind | sneezing,The audio clip contains a constant sound like machines or en | A brief indoor recording captures a sudden sneeze in the qui,,,
realmix_0081,audio/realmix_0081.wav,8.0,3,pouring_water | train | engine,"A sharp, high-frequency metallic clink, followed by the rapi | This high-intensity rock track features pounding drums, dist | The recording captures the forceful, unrelenting roar of a l",,,
realmix_0082,audio/realmix_0082.wav,8.0,3,airplane | drinking_sipping | cat,"A massive train rumbles across the landscape, its powerful e | A quiet room with slight echo hosts two low thuds from a hea | A domestic cat meows sharply in a quiet indoor space, the so",,,
realmix_0083,audio/realmix_0083.wav,8.0,3,helicopter | thunderstorm | pig,"The sound of a helicopter flying away is drowned out by the  | The audio clip is a sound effects sample that illustrates th | A man grunts in exertion, the close-miked sound showing clea",,,
realmix_0084,audio/realmix_0084.wav,8.0,2,footsteps | sneezing,"The clip contains no identifiable speech, music, sound effec | A sharp, forceful sneeze erupts in a silent, acoustically de",,,
realmix_0085,audio/realmix_0085.wav,8.0,2,chirping_birds | toilet_flush,"A 5-second high-fidelity mono recording captures the vivid,  | A resonant liquid splash occurs at the beginning of the audi",,,
realmix_0086,audio/realmix_0086.wav,8.0,2,clock_tick | cow,"A rhythmic, metallic clatter fills a quiet kitchen, as a per | A single person is producing a sustained, distorted vocaliza",,,
realmix_0087,audio/realmix_0087.wav,8.0,3,train | siren | drinking_sipping,"A sudden crash of a train car collides against a solid surfa | A piercing, high-pitched tire screech erupts abruptly and su | The audio features a series of low-pitched, resonant grunts ",,,
realmix_0088,audio/realmix_0088.wav,8.0,3,pig | church_bells | dog,"The audio features a sequence of guttural, rhythmic animal g | A bright, resonant bell chime rings with clear articulation, | The audio features a repeated sequence of dog barks, which d",,,
realmix_0089,audio/realmix_0089.wav,8.0,3,helicopter | cat | toilet_flush,"A powerful train rushes through a confined space, its wheels | A young child’s voice is heard in a quiet, enclosed space, c | This is a brief instrumental audio clip lasting 5 seconds, f",,,
realmix_0090,audio/realmix_0090.wav,8.0,3,crow | car_horn | door_wood_knock,"A harsh, guttural, multi-syllabic squawk from the male Commo | A car horn blares loudly and briefly in an open-air urban se | The room is silent and still as a single hard object—perhaps",,,
realmix_0091,audio/realmix_0091.wav,8.0,2,frog | hen,"A brief sequence of high-pitched, staccato, nasal honks foll | The sound is a blend of the voiceless fricatives /s/ and /z/",,,
realmix_0092,audio/realmix_0092.wav,8.0,2,insects | cow,"A quiet, reverberant indoor environment hosts a constant low | A fast, high-quality engine revving sound, sounding like a m",,,
realmix_0093,audio/realmix_0093.wav,8.0,2,cat | crickets,"A quiet indoor room with a cat vocalizing twice, separated b | A domestic kitchen hosts a persistent low-frequency motor hu",,,
realmix_0094,audio/realmix_0094.wav,8.0,3,crow | car_horn | sneezing,"A powerful, reverb-heavy cry by a crow, captured with high c | The audio features a massive sea creature emitting a deep, g | A brief indoor recording captures a single forceful sneeze f",,,
realmix_0095,audio/realmix_0095.wav,8.0,3,airplane | glass_breaking | wind,"The sound of fast-moving train wheels clicking and clacking  | A metal key drops onto a hard surface in an otherwise silent | A low-frequency, continuous rumbling of ocean waves crashing",,,
realmix_0096,audio/realmix_0096.wav,8.0,3,snoring | chirping_birds | crackling_fire,"A deep, resonant, and rhythmic human snore unfolds in a quie | A field recording captured in the wild, featuring a natural  | A low, steady hum persists throughout the recording with min",,,
realmix_0097,audio/realmix_0097.wav,8.0,3,hen | thunderstorm | keyboard_typing,"This is an instrumental track titled ""Hahaha"" by djluk, fall | The audio presents a sustained, low-frequency mechanical dro | A hand strikes a wooden surface in a quiet indoor setting, p",,,
realmix_0098,audio/realmix_0098.wav,8.0,3,pouring_water | crow | church_bells,"A toilet flush occurs, producing a loud gushing and reverber | A series of powerful, raw cawing sounds, captured with high  | A deep, sustained orchestral chord dominated by brass instru",,,
realmix_0099,audio/realmix_0099.wav,8.0,2,snoring | wind,"A deeply resonant guttural roar from a large animal, low-pit | A cat's high-pitched, continuous meow is heard indoors, its ",,,
realmix_0100,audio/realmix_0100.wav,8.0,3,vacuum_cleaner | engine | mouse_click,"The image shows a close-up of a metallic surface with bright | A low and steady hum fills the air, underpinned by a subtle  | The recording presents three identical, isolated sound event",,,
realmix_0101,audio/realmix_0101.wav,8.0,2,pig | dog,"A small dog emits three short, high-pitched yips followed by | A dog barks repeatedly in a quiet indoor setting with modera",,,
realmix_0102,audio/realmix_0102.wav,8.0,2,hand_saw | door_wood_creaks,"It's time for a story where a man named Mike works on a big  | A pristine five-second stereo recording, evidently made in a",,,
realmix_0103,audio/realmix_0103.wav,8.0,2,can_opening | crying_baby,"A loud, sharp, and immediate camera shutter sound occurs at  | A cat in a quiet indoor room emits a series of high-pitched ",,,
realmix_0104,audio/realmix_0104.wav,8.0,3,fireworks | hen | dog,"A person is walking briskly across a gravel trail, producing | A powerful train horn blasts continuously in a large, open e | A small dog barks sharply and repeatedly in a quiet indoor e",,,
realmix_0105,audio/realmix_0105.wav,8.0,3,vacuum_cleaner | mouse_click | crow,"A loud, high-pitched electric blender churns continuously in | In a quiet kitchen, a set of metal keys rattle noisily and r | The audio features four distinct bird calls, each a loud, ha",,,
realmix_0106,audio/realmix_0106.wav,8.0,2,footsteps | engine,A single individual moves steadily and smoothly across a har | A large commercial vehicle's diesel engine idles for 4.8 sec,,,
realmix_0107,audio/realmix_0107.wav,8.0,3,rooster | door_wood_knock | mouse_click,"A rooster delivers a loud, raspy crow early in the morning,  | A brief two-part sound event unfolds in a quiet, acousticall | A quiet, enclosed space with a steady low hum is periodicall",,,
realmix_0108,audio/realmix_0108.wav,8.0,3,mouse_click | can_opening | clapping,"a few people are doing work with mechanical typewriters in a | This sharp, impactful instrumental percussion piece is a bri | A large train speeds past a trackside microphone at close ra",,,
realmix_0109,audio/realmix_0109.wav,8.0,3,fireworks | hen | frog,"A set of three heavy, hollow metal objects is set down force | In a quiet, enclosed barn space, loud, chaotic clucking fill | A 5-second, high-fidelity, stereo recording captures multipl",,,
realmix_0110,audio/realmix_0110.wav,8.0,3,insects | vacuum_cleaner | clapping,"Inside a large, acoustically reflective institutional space  | A heavy shower is flowing from a faucet inside a small bathr | A brief burst of rapid, overlapping handclaps from a group o",,,
realmix_0111,audio/realmix_0111.wav,8.0,2,chirping_birds | pig,"A lush, undisturbed forest soundscape animated by a continuo | A series of aggressive cat growls with guttural, rhythmic in",,,
realmix_0112,audio/realmix_0112.wav,8.0,3,toilet_flush | washing_machine | can_opening,"A toilet flush is heard in an enclosed, hard-surfaced bathro | A continuous and sustained operation of a high-pitched machi | A 5-second high-fidelity stereo recording captures two conse",,,
realmix_0113,audio/realmix_0113.wav,8.0,2,pig | brushing_teeth,"The audio presents a deep, guttural roar from a giant creatu | A person vigorously shaking a keychain in a kitchen while an",,,
realmix_0114,audio/realmix_0114.wav,8.0,3,insects | laughing | coughing,"The audio presents a continuous, high-pitched mechanical whi | A woman laughs heartily with playful exuberance, her giggles | A loud, repetitive sequence of forceful coughing erupts, mar",,,
realmix_0115,audio/realmix_0115.wav,8.0,2,crickets | toilet_flush,"This brief 5.0-second audio captures a quiet, still nighttim | A toilet flushes, filling a porcelain fixture with water, cr",,,
realmix_0116,audio/realmix_0116.wav,8.0,2,dog | siren,"A small dog makes a series of sharp, high-pitched barks in a | A mournful fiddle and mournful drum play a solemn tune at a ",,,
realmix_0117,audio/realmix_0117.wav,8.0,2,toilet_flush | pig,"A man in the shower begins to sing a song, as water flows co | A series of powerful, resonant roars unfolds as a formidable",,,
realmix_0118,audio/realmix_0118.wav,8.0,2,clock_tick | toilet_flush,"The sound of a mechanical clock ticking is clearly audible o | A brief, jarring electronic tone interrupts a quiet space, m",,,
realmix_0119,audio/realmix_0119.wav,8.0,2,crickets | airplane,The cricket chirps were captured in high fidelity | This is a 4-second low-fidelity studio recording showcasing ,,,
realmix_0120,audio/realmix_0120.wav,8.0,3,car_horn | chirping_birds | crackling_fire,"A metallic emergency vehicle siren emits a piercing, resonan | The audio captures a brief, tense moment in a quiet resident | A quiet indoor environment is disrupted by two distinct fire",,,
realmix_0121,audio/realmix_0121.wav,8.0,2,glass_breaking | door_wood_knock,"A small volume of liquid is poured into a glass container, c | A small studio recording captures five rhythmic knocks on a ",,,
realmix_0122,audio/realmix_0122.wav,8.0,3,door_wood_creaks | airplane | snoring,"A loud, metallic door slam occurs in a quiet, reverberant in | A large, steady engine hums continuously in the background,  | A man in a quiet indoor bedroom environment, likely with clo",,,
realmix_0123,audio/realmix_0123.wav,8.0,3,siren | brushing_teeth | helicopter,"A powerful siren from an emergency vehicle wails continuousl | The audio features a single small dog producing a high-pitch | A tense, low-frequency engine idling in a large enclosed spa",,,
realmix_0124,audio/realmix_0124.wav,8.0,3,pig | rooster | mouse_click,A set of keys is dropped onto a hard surface in a quiet indo | A large dog barks sharply and clearly from a quiet indoor sp | The quiet room has a little bit of echo.,,,
realmix_0125,audio/realmix_0125.wav,8.0,2,cat | pig,"Two cats meowing as a cat | A deep, rhythmic snoring sound dominates the audio, produced",,,
realmix_0126,audio/realmix_0126.wav,8.0,3,airplane | pouring_water | clapping,"A car engine idles steadily, producing a deep, resonant rumb | A person shakes a set of metal keys near a recording device  | This high-energy instrumental captures a dynamic percussion ",,,
realmix_0127,audio/realmix_0127.wav,8.0,2,dog | hen,"The audio features a dog barking repeatedly in a small, quie | A large bird in open space emits a sequence of loud, high-pi",,,
realmix_0128,audio/realmix_0128.wav,8.0,3,glass_breaking | door_wood_knock | sea_waves,"A single set of metallic keys is shaken in hand within a qui | A five-second mono recording captures a sequence of four dee | The audio captures a continuous, forceful flow of water with",,,
realmix_0129,audio/realmix_0129.wav,8.0,2,door_wood_creaks | clapping,Piano | The sound you're hearing is the enthusiastic applause of an ,,,
realmix_0130,audio/realmix_0130.wav,8.0,2,vacuum_cleaner | church_bells,The audio captures the aggressive sharpening of a metal blad | The sound of a large clock tower’s bells striking with deep ,,,
realmix_0131,audio/realmix_0131.wav,8.0,3,clock_tick | clock_alarm | pig,"Rhythmic and repetitive clicking sounds from a manual typewr | A brief, intimate sequence of four evenly spaced, high-pitch | A small dog emits a series of intense, high-pitched barks wi",,,
realmix_0132,audio/realmix_0132.wav,8.0,2,hand_saw | sheep,"A metal saw cuts into wood with sharp, rhythmic precision in | A loud, vibrating mechanical rumbling from a large industria",,,
realmix_0133,audio/realmix_0133.wav,8.0,3,hand_saw | car_horn | crying_baby,"A steady, mechanical scraping sound is emitted by a metal fi | A loud car horn blares at the beginning of the audio, follow | The recording starts with the sound of a young child, whose ",,,
realmix_0134,audio/realmix_0134.wav,8.0,3,thunderstorm | sneezing | chirping_birds,"A deep, resonant thunderclap erupts suddenly at the onset of | Piercing a hushed room with a sudden, forceful sneeze, follo | A garden in a rural setting is filled with the constant dron",,,
realmix_0135,audio/realmix_0135.wav,8.0,3,cat | church_bells | toilet_flush,"The only thing that happened was the dog meowed. | An alarm clock repeatedly sounds every half-second throughou | A toilet flushes, followed by water refilling, concluding wi",,,
realmix_0136,audio/realmix_0136.wav,8.0,3,glass_breaking | airplane | drinking_sipping,"A sharp, sudden crash and scatter of glass fragments erupts  | A vintage American train pulls into the station with rhythmi | The audio captures the mechanical operation of a toilet flus",,,
realmix_0137,audio/realmix_0137.wav,8.0,2,clock_alarm | chirping_birds,"A quiet indoor environment is disrupted by a sudden, recurri | A mechanical pencil sharpener grinding away at a wooden stic",,,
realmix_0138,audio/realmix_0138.wav,8.0,2,cow | mouse_click,"A single cow emits a deep, loud vocalization within a natura | A 4.0-second professionally produced sound effect, featuring",,,
realmix_0139,audio/realmix_0139.wav,8.0,2,engine | footsteps,"The soundscape features a sequence of heavy metal machinery  | The audio recording captures a set of clear, high-fidelity s",,,
realmix_0140,audio/realmix_0140.wav,8.0,2,engine | frog,"In a quiet industrial laboratory with a hard-walled, reverbe | A group of large dogs, or pigs, are heard howling in a rever",,,
realmix_0141,audio/realmix_0141.wav,8.0,2,brushing_teeth | crackling_fire,"A short, intense burst of overlapping metallic clinks and ra | A kitchen sounds like a quiet little space, and there are no",,,
realmix_0142,audio/realmix_0142.wav,8.0,2,chainsaw | helicopter,"A high performance V10 engine is recorded in a controlled in | A heavy-duty vehicle, likely a bus or truck, approaches the ",,,
realmix_0143,audio/realmix_0143.wav,8.0,3,washing_machine | mouse_click | thunderstorm,"A continuous, fast-paced stream of metallic beeping erupts f | A sharp, loud key impact occurs at the beginning, followed b | A calm outdoor setting marked by gentle wind and distant thu",,,
